nome_produto,marca,segmento,categoria,subcategoria
"Mini Tubo para Colagem MBT 0,022"" Simples Mjanson 2º Molar",,Dentista,Ortodontia,Bandas e Tubos
"Mini Tubo para Colagem MBT Universal 0,022"" MJanson Simples 1º e 2º Pré",,Dentista,Ortodontia,Bandas e Tubos
Mini Tubo Simples Cola Roth 018 ,,Dentista,Ortodontia,Bandas e Tubos
Mini Tubo Simples Cola Roth 022 ,,Dentista,Ortodontia,Bandas e Tubos
Miniparafuso Ortodôntico de Bráquete Anti,,Dentista,Ortodontia,Instrumentos Ortodônticos
Miniparafuso Ortodôntico de Bráquete Horário ,,Dentista,Ortodontia,Instrumentos Ortodônticos
Miniparafuso Ortodôntico Extrarradicular de Aço ,,Dentista,Ortodontia,Instrumentos Ortodônticos
Miniparafuso Ortodôntico Para Ancoragem Absoluta ,,Dentista,Ortodontia,Instrumentos Ortodônticos
Miniparafuso Ortodôntico Para Ancoragem Extrarradicular ,,Dentista,Ortodontia,Instrumentos Ortodônticos
Mola Aberta Ortodôntica de CrNi Para Compressão ,,Dentista,Ortodontia,Acessórios Ortodônticos
Mola Fechada Flexy NiTi Para Miniparafuso ,,Dentista,Ortodontia,Acessórios Ortodônticos
Mola Fechada NiTi Para Tração ,,Dentista,Ortodontia,Acessórios Ortodônticos
Mola Fechada Ortodôntica de CrNi Para Tração ,,Dentista,Ortodontia,Acessórios Ortodônticos
Mola Aberta NiTi Flexy – Orthometric,,Dentista,Ortodontia,Acessórios Ortodônticos
